Time [ms], Yaw [rad], Pitch [rad], Roll [rad], Yaw velocity [rad/s], Pitch velocity [rad/s], Roll velocity [rad/s]
0.06581, 2.61531, -0.00970035, 0.0411575, 0.00883535, -0.00366742, -0.00161723
20.1661, 2.61557, -0.00991394, 0.0408297, 0.00821909, -0.00928719, -0.00834858
40.3032, 2.61589, -0.00999486, 0.040721, 0.0131658, -0.00542002, -0.00729923
60.4558, 2.61395, -0.00892795, 0.0406803, -0.046356, 0.0284727, -0.00578197
80.6255, 2.61013, -0.0100734, 0.0410576, -0.112477, -0.0271193, 0.0116077
100.797, 2.59567, -0.00957916, 0.0390367, -0.409523, -0.00189967, -0.0432057
120.986, 2.58285, -0.00848194, 0.0392103, -0.499392, 0.0216238, -0.0305319
141.232, 2.57412, -0.0103852, 0.0392601, -0.468819, -0.0352019, -0.0144631
161.45, 2.56808, -0.0105603, 0.0397621, -0.506998, -0.0301877, 0.00386582
181.647, 2.53961, -0.0280216, 0.0441711, -0.607925, -0.275737, 0.0386018
201.83, 2.52452, -0.0299086, 0.0421705, -0.679233, -0.187478, -0.0288544
222.049, 2.51479, -0.0249976, 0.0454876, -0.585487, 0.0469506, 0.0737165
242.17, 2.50391, -0.0270564, 0.0440223, -0.728036, -0.0247176, 0.0112839
262.31, 2.48682, -0.0236846, 0.045847, -0.630616, 0.0835692, 0.03983
282.515, 2.48145, -0.0227239, 0.0412899, -0.604111, 0.0871107, -0.100641
302.696, 2.46895, -0.0255409, 0.0409118, -0.50386, -0.0152352, -0.0413174
322.798, 2.4638, -0.00261044, 0.031896, -0.403129, 0.656843, -0.235538
342.925, 2.46009, -0.00192343, 0.0331214, -0.393879, 0.490123, -0.134033
363.103, 2.43016, 0.0013216, 0.035002, -0.772605, 0.242801, -0.0157867
383.311, 2.42142, 0.000584814, 0.0352821, -0.801347, 0.153089, -0.00337074
403.497, 2.38999, 0.00305579, 0.0353153, -0.946544, 0.109796, -0.000747516
423.658, 2.36659, 2.95211e-05, 0.0426042, -1.01456, -0.00398709, 0.146478
443.746, 2.35907, 0.0070576, 0.037088, -0.686711, 0.159824, -0.0306176
463.878, 2.35123, 0.00279926, 0.0445486, -0.583955, -0.0395279, 0.244195
484.095, 2.34052, 0.00461615, 0.0476483, -0.56505, 0.0321289, 0.207793
504.283, 2.33014, 0.0023114, 0.0468354, -0.554354, -0.0436349, 0.0870818
524.449, 2.32457, 0.00148663, 0.0479475, -0.413153, -0.0357198, 0.0780508
544.589, 2.31311, 0.00290772, 0.045902, -0.490819, 0.0162347, -0.00969277
564.835, 2.29632, 0.00993284, 0.0384938, -0.66438, 0.168267, -0.161096
585.019, 2.2644, 0.00958407, 0.0362989, -1.11783, 0.0779059, -0.136109
605.231, 2.25374, 0.0109046, 0.0355932, -0.820722, 0.0649601, -0.0879726
625.4, 2.24446, 0.00841339, 0.0354161, -0.648623, -0.0262735, -0.0529254
645.555, 2.23295, 0.0123066, 0.033289, -0.609036, 0.077527, -0.0866535
665.772, 2.22328, 0.0107159, 0.0324334, -0.550655, 8.28445e-05, -0.065589
686.047, 2.2129, 0.0101867, 0.0319312, -0.536906, -0.0103394, -0.0464615
706.231, 2.20255, 0.00962521, 0.0321901, -0.527381, -0.01897, -0.0175553
726.373, 2.1975, 0.00998875, 0.0327205, -0.5211, -0.00328748, 0.00245708
746.588, 2.18046, 0.0120695, 0.0312534, -0.543745, 0.0399985, -0.0202087
766.811, 2.17511, 0.0116555, 0.0312254, -0.541181, 0.0169256, -0.0152749
787.008, 2.15955, 0.0125699, 0.0291731, -0.547088, 0.0115264, -0.0486835
807.201, 2.14907, 0.00944096, 0.0292427, -0.535919, -0.0702057, -0.0233002
827.313, 2.14251, 0.0128282, 0.0265803, -0.422711, 0.0596452, -0.0812444
847.469, 2.13765, 0.0118201, 0.026801, -0.440812, 0.01416, -0.0519585
867.814, 2.12011, 0.00477539, 0.030604, -0.55726, -0.20323, 0.103632
