x, y, t
-1.333621044, -2.621208818, 9.5246e-05
-1.33201032, -2.617421121, 0.103158726
-1.329542761, -2.610563365, 0.204684104
-1.324171537, -2.600125883, 0.306572134
-1.320866625, -2.593581146, 0.408432939
-1.317321726, -2.586350631, 0.510357542
-1.313309365, -2.579326626, 0.612323343
-1.309745088, -2.573003065, 0.71405629
-1.306094853, -2.566131241, 0.815831984
-1.302396324, -2.559808547, 0.917681137
-1.298894607, -2.552107487, 1.019465202
-1.29568282, -2.544673046, 1.121112061
-1.292125715, -2.538084392, 1.222870117
-1.288981145, -2.534301641, 1.324835537
-1.285509692, -2.527504788, 1.426563092
-1.282060795, -2.520826489, 1.528401589
-1.278857606, -2.513385438, 1.63020422
-1.274830412, -2.507078532, 1.731875201
-1.271338803, -2.500209652, 1.833709871
-1.268442874, -2.493195366, 1.935692996
-1.265314485, -2.487194393, 2.037217847
-1.261838853, -2.48096108, 2.138652135
-1.257592329, -2.472971068, 2.240270132
-1.253486449, -2.465136669, 2.342280991
-1.250144188, -2.458888958, 2.444287394
-1.246180483, -2.452862236, 2.546290276
-1.244806584, -2.443027263, 2.64826109
-1.241109291, -2.436785118, 2.750166607
-1.237386944, -2.429877991, 2.852128717
-1.234354242, -2.423323382, 2.953949021
-1.230017286, -2.41510623, 3.056450115
-1.226897382, -2.40877198, 3.158207616
-1.22372521, -2.40258336, 3.260147878
-1.219743959, -2.394404014, 3.362097877
-1.216747794, -2.38758582, 3.463924049
-1.213370378, -2.380831925, 3.565677193
-1.210460596, -2.37462326, 3.667394623
-1.206981617, -2.366997386, 3.769224556
-1.203993585, -2.360686193, 3.871195527
-1.199521737, -2.353273921, 3.973025042
-1.19629571, -2.34560804, 4.074928898
-1.193174665, -2.338868323, 4.176614124
-1.189623851, -2.331861049, 4.278518871
-1.186386969, -2.325229162, 4.380266708
-1.18256957, -2.317828427, 4.48199804
-1.179120539, -2.310869295, 4.583806169
-1.175920302, -2.30392702, 4.685830298
-1.173131051, -2.297537422, 4.78762136
-1.169764644, -2.290694669, 4.889407578
-1.165376768, -2.283142149, 4.991319298
-1.161902805, -2.275232892, 5.093102478
-1.15839405, -2.269088293, 5.194838204
-1.155659747, -2.262978545, 5.296683031
-1.152306506, -2.256306449, 5.398586445
-1.147610354, -2.249048722, 5.500544937
-1.14393868, -2.241955191, 5.602228687
-1.140489305, -2.235846834, 5.70429884
-1.13837032, -2.229521761, 5.80603419
-1.136331375, -2.219962592, 5.908126442
-1.13346397, -2.21348253, 6.010151861
-1.129641021, -2.205986496, 6.111793675
-1.125412994, -2.197717883, 6.213714469
-1.12262302, -2.191442534, 6.315720423
-1.119788012, -2.185025939, 6.417624783
-1.116788044, -2.178477907, 6.51951503
-1.113635805, -2.171823323, 6.621483746
-1.110384847, -2.164210345, 6.72315032
-1.107457742, -2.15765419, 6.825027127
-1.104207659, -2.150952551, 6.926937026
-1.101030059, -2.144097712, 7.028726112
-1.098046385, -2.137279553, 7.130519808
-1.094727537, -2.129994942, 7.232263853
-1.091743574, -2.123102744, 7.334138123
-1.088864793, -2.116541734, 7.436074898
-1.085785314, -2.109377929, 7.537949418
-1.082018998, -2.102205627, 7.639924896
-1.079085139, -2.095018194, 7.741767509
-1.076253438, -2.087669975, 7.843616298
-1.073186409, -2.080753218, 7.945394838
-1.070399682, -2.07397494, 8.047215759
-1.067316504, -2.066903617, 8.149022317
-1.064402256, -2.060036297, 8.250831487
-1.061268834, -2.05264749, 8.352650006
-1.058270382, -2.045761775, 8.454588966
-1.054569731, -2.039225837, 8.556574208
-1.051636234, -2.032194303, 8.658473979
-1.049207041, -2.025045479, 8.760273742
-1.045838699, -2.017336957, 8.862280322
-1.04276796, -2.01068542, 8.964129941
-1.040013086, -2.004016493, 9.066023694
-1.036925106, -1.997308548, 9.167607093
-1.033555182, -1.990192757, 9.269480995
-1.030530888, -1.9834197, 9.371235691
-1.026781711, -1.976805692, 9.473043813
-1.023635652, -1.969950406, 9.574820062
-1.020347409, -1.962455513, 9.676763462
-1.017614665, -1.955482762, 9.778769985
-1.014259138, -1.949225985, 9.880619419
-1.011352811, -1.941008041, 9.982404481
-1.007829899, -1.934214143, 10.08426361
